sequence,class
"-10.90117144,0.798743345,-1.143300964,-1.070960009,11.85639581,-2.265965399,4.536404701,1.519959126,-2.214294195,-0.671273925",1
"-9.990054297,1.416821349,-0.729626106,-0.443620754,10.41859419,0.44351371,2.640658887,-4.637745825,3.351628779,-0.671273925",1
"-9.345388445,2.913053602,-0.921420784,0.029172626,10.67261467,-2.052552285,5.140475582,-1.451096013,0.444182864,-0.671273925",1
"-11.2215074,1.733021061,-2.339816764,0.045786048,13.1950875,-3.068897297,2.863433874,-2.259194382,2.374566476,-0.671273925",1
"-10.17515829,2.066307063,-0.785492616,-0.632400445,7.461272082,-1.643509092,0.715258231,-3.982751555,0.098680781,-0.671273925",1
"-13.31992242,2.737273362,-1.532659031,0.058068544,-2.660751875,-0.550663024,2.141832367,-2.007177304,1.670643986,-0.671273925",1
"-10.44169213,0.872937537,-0.100213953,0.519791326,0.094731956,0.764297776,-4.658872392,3.438304327,1.630509664,2.442466571",1
"-9.218514509,1.758892098,-0.578552353,-0.937131202,1.373940452,-1.62012629,0.919812475,-1.998084061,1.592814334,-0.671273925",1
"-12.673631,3.015143961,-2.100390149,-0.517233089,1.116705887,1.096178869,-3.240629907,2.39449918,0.251877547,0.885596323",1
"-8.342017433,3.451908119,-1.6689321559999999,-0.158435218,-1.710343582,0.813721929,-4.333145837,0.234331624,-0.549882983,0.885596323",1
"-10.00354586,5.123690809,-0.941167859,-0.107404688,0.954424411,-3.093075065,-0.783159977,3.908338761,-0.586799913,0.885596323",1
"-9.927064519,1.051759512,-3.225099329,-1.296031613,-3.038653364,4.477170342,0.789175627,-0.965553189,3.592118429,-0.671273925",1
"-10.25617439,3.971784407,-2.110359934,-0.180311866,-0.622544214,1.981484299,1.543862414,1.963172052,-0.953001214,-0.671273925",1
"2.190798539,-2.910533389,0.995490499,-0.64082775300000006,0.792582398,-0.15136188,-0.654010445,-1.247367775,0.127010715,-0.671273925",1
"2.722950984,-4.063188562,1.880212429,0.825749403,2.133482406,2.037079292,0.16571816,0.361529104,0.183872346,0.885596323",1
"1.288356568,-4.891717937,1.05114982,-1.999214447,-0.502133871,1.755862192,0.111615241,-2.001630272,-0.778240066,-0.671273925",1
"2.19211328,-4.068270038,0.058904478,0.440516097,-0.100105696,3.041288466,2.863568582,-1.841480933,-1.258569144,-0.671273925",1
"1.012301898,-5.500831536,0.757750314,0.11179701,0.661838421,2.440851848,2.542023581,-3.249703784,-0.28876809,-0.671273925",1
"1.067365608,-2.259147959,1.461074129,-1.448685192,-0.1525456,3.475777059,-0.257406736,-2.89642525,-0.255359041,-0.671273925",1
"3.372243885,-3.056507288,1.192988627,-0.463133617,-0.877314466,0.038586303,0.319305616,-1.684089743,-2.202299619,-0.671273925",1
"1.625466367,-3.604646604,0.781272175,1.788505655,0.051897849,1.60632204,0.396750396,-0.340083503,-2.010997446,-0.671273925",1
"2.564142112,-4.147973284,-1.386865057,-1.403124002,-1.582256168,0.974281117,0.40684885,-0.272152613,-1.321535332,0.885596323",1
"2.021118436,-2.974464635,1.111035657,-0.576901729,-0.64089192,3.642071801,1.486951756,-2.077840355,1.44605534,-0.671273925",1
"2.875899779,-5.210348147,0.37266138,0.702480908,-1.452995753,1.689306591,-0.440217997,-0.66321974,-2.06774034,0.885596323",1
"2.085823533,-3.422293289,0.189904191,-1.109026171,-1.764805858,4.765338564,-2.269393195,-0.804440357,0.846346265,-0.671273925",1
"1.488513979,-2.511251209,-0.944191674,-0.360100584,-0.464371317,0.725646302,0.843619118,-2.161005838,-0.496010752,-0.671273925",1
"2.378584094,-2.57952676,0.820269931,1.561278691,0.195902958,0.976951847,0.165318893,-1.118693717,2.774778884,-0.671273925",1
"1.896561426,-4.310544939,1.644387809,-0.972915034,-1.266923851,1.556026794,0.391242986,0.668819499,-0.273482771,-0.671273925",1
"0.120613316,-3.634720398,1.61000482,-1.655833421,0.133632601,4.726834371,-1.249821214,-1.254457734,-0.672229088,0.885596323",1
"2.329637236,-2.849837515,0.140591199,1.698582842,-0.712316111,1.41779328,-0.967649872,-1.872187352,-3.040998753,0.885596323",1
"1.673964101,-4.680809423,2.670192989,-0.532909579,0.656579096,2.674279852,2.494722553,-0.208690836,-0.081902253,-0.671273925",1
"1.17824514,-2.625221049,0.953933022,-0.056098485,0.639304529,-0.190614713,1.17979319,-1.26769875,0.391501779,-0.671273925",1
"0.849505019,-2.703967651,0.567333202,-0.528595733,0.034534279,1.960435447,1.230295364,-0.096736834,-1.575023207,-0.671273925",1
"2.185487374,-4.028637411,1.297706593,-1.424988632,0.317757568,3.095203744,2.24255424,-3.855403694,0.753159041,0.885596323",1
"1.169967964,-3.487415799,1.021147196,-1.030197368,-0.693629817,2.378129303,0.883743308,-3.201918443,-0.362373013,-0.671273925",1
"1.157399372,-3.080096494,0.66151983,0.047611586,-0.512034119,2.508968276,-0.843828768,-2.427298766,-3.805224804,-0.671273925",1
"2.257178649,-4.412807949,1.695984053,-0.076410191,1.259568956,3.239673025,-0.945041025,-1.669838587,0.377692108,-0.671273925",1
"0.602226653,-4.929845636,0.190921362,-1.063427915,-1.036294163,0.855560558,1.250431266,-1.566617724,1.346773448,0.885596323",1
"0.639734441,-5.462655918,0.435371082,0.468254241,0.224153059,4.816232139,0.031027133,-2.989113909,-0.294885148,-0.671273925",1
"3.663890878,2.653870643,1.250912207,3.343807035,-1.061202973,0.724002984,0.501534119,-0.177521354,1.294983548,0.885596323",1
"3.942792719,4.037806276,-0.512578017,4.988926384,-1.464832654,-0.545380181,-0.807490321,1.155971824,1.08159805,2.442466571",1
"4.064421021,4.435672645,0.16269382,3.582952658,-1.127786249,-0.355579495,-1.379793578,2.414027247,-0.923999396,0.885596323",1
"2.985865751,4.210687344,-0.374549423,1.683690183,-0.075773721,-1.324601847,0.02783146,-2.861872283,1.25774582,-0.671273925",1
"3.898657257,5.880252455,-0.779651565,3.099220944,0.689151622,0.16634985,0.029202545,1.342229191,-0.917360725,-0.671273925",1
"4.661896548,4.399811634,0.432115761,3.828902295,1.090977707,1.182486873,-0.474352852,2.063818266,-0.591874134,-0.671273925",1
"5.811956166,4.572147693,-0.877563086,3.080230751,-0.368355284,0.782848548,0.613455334,-0.658011857,1.489391637,0.885596323",1
"3.873890458,4.527507431,1.075194992,3.930276954,0.448952717,4.42232e-4,2.885988747,-0.475726094,2.22537707,-0.671273925",1
"5.179862162,5.028176776,0.001785969,3.272821036,-0.204086956,0.027596848,-0.541489611,-0.403048532,0.787064179,-0.671273925",1
"2.978760002,4.397531553,0.84306902,4.103253264,-0.417017434,-1.973384938,2.103291304,-0.06738329,-0.328095217,-0.671273925",1
"3.505889286,3.474207052,1.885579598,1.397696556,0.142674832,0.632620251,-1.415212986,-1.25110574,0.883569537,-0.671273925",1
"4.034563688,3.992212495,-0.331038208,3.519857078,-0.06980665,-1.620788149,0.751012534,-0.179817643,-1.541768771,-0.671273925",1
"3.88137544,3.209425443,-1.175180291,4.632934827,0.220478311,-0.336047112,0.110639726,1.320976271,-0.679259983,0.885596323",1
"4.502982841,3.897319659,-0.303266951,4.849329286,-0.194322885,0.815686071,-0.315503295,-1.162660328,0.81462557,0.885596323",1
"4.256103229,3.119078665,-0.830872802,4.43263501,0.57096498,0.526424725,-0.271541195,-0.401191852,0.715891525,0.885596323",1
"4.191979515,2.758185749,-0.090660845,3.004712917,0.104253503,-0.347606106,0.704231731,0.874965096,-0.169749149,-0.671273925",1
"4.416959361,3.812374999,-1.284376907,5.442268583,0.73611034,0.251222434,1.896264369,1.26855104,1.573578054,-0.671273925",1
"3.726571383,4.984485056,-0.637060974,4.347748021,-1.032430453,-1.450947697,-1.26906718,0.41351087,-0.107860501,0.885596323",1
"5.290592087,4.667745532,-0.565508219,3.575170475,-0.961063221,0.54130434,-0.644885863,0.022160881,0.333747817,0.885596323",1
"4.255508866,4.682615224,-0.280385406,3.060123284,-0.411872261,1.089598436,-1.403644057,-0.054463344,-1.775525941,-0.671273925",1
"3.078679655,4.871992522,-1.11832896,2.94796205,1.878027858,0.759581851,1.486777921,-1.44674201,1.209715828,-0.671273925",1
"5.272853555,5.30158828,0.178932019,3.836822882,0.864487129,-0.036481983,0.04821721,-1.039876796,0.914068657,-0.671273925",1
"3.949583228,4.09309713,-0.137174554,5.476177063,-1.401350283,-0.483699734,-0.420384108,0.200845823,2.868619054,-0.671273925",1
"3.164054943,3.955466933,-1.826670043,4.643338323,0.296954315,0.982576195,1.812730883,1.601516133,0.19483082,0.885596323",1
"4.354188161,3.166586899,-0.762315986,5.188782018,2.781167987,1.959412856,-1.860092654,-0.002267893,0.28317574,-0.671273925",1
"2.542533472,4.251509082,0.629468021,5.135877215,1.027180248,-0.976295178,-1.178306226,-1.143315199,1.751056917,-0.671273925",1
"4.14927571,3.367708136,2.591477117,3.588693628,0.014098157,-1.241188913,0.753233118,0.328565644,0.41521607,-0.671273925",1
"3.814753351,3.312528543,0.117534868,1.645657697,0.111614135,-0.449477622,1.50239902,-0.675542754,0.862130993,-0.671273925",1
"5.078192108,4.230245291,0.564029029,2.990390509,0.678144843,-1.514565161,2.074668504,0.325879008,2.531302835,-0.671273925",1
"3.179788808,3.005510512,1.2233702,4.653086128,-0.417252645,-0.925740671,-0.60223521,-1.245704053,0.954026993,-0.671273925",1
"3.276377917,3.701350106,-0.458300855,2.307900876,0.150066551,0.382220072,0.675286302,-0.427303925,-2.548364224,-0.671273925",1
"2.826655205,4.196268966,1.017739549,4.264962218,-0.524799585,-1.302249216,0.100311501,-2.005469997,1.571837869,-0.671273925",1
"3.860957273,3.943055037,1.750568359,2.951380954,-1.770323276,0.482817651,-0.474340814,-0.296905604,-0.987363517,-0.671273925",1
"3.530730284,3.520043013,-0.216788689,2.564651516,-1.34846857,-0.988323278,0.335578779,0.71202872,1.582360602,-0.671273925",1
"4.753213811,1.796718476,-2.037176571,3.414754751,1.178503062,-1.16147387,-1.50431327,0.278492726,0.299326204,-0.671273925",1
"4.578280279,3.105454065,-1.370913644,5.088083994,-0.0169633,-2.039079446,1.512504691,-0.526014626,-0.075244261,-0.671273925",1
"4.635080371,2.772580506,1.906960327,3.212826615,-1.145037382,-0.290859737,0.507031842,1.007598653,0.775611882,-0.671273925",1
"3.450463893,2.759298624,0.403357829,3.53578302,0.243369165,0.049230309,1.513151668,1.238103364,-1.700032161,-0.671273925",1
